date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,position_diff,form_difference,home_home_form,away_away_form,home_avg_goals,away_avg_goals,home_avg_conceded,away_avg_conceded,home_avg_shots,away_avg_shots,home_avg_shots_on_target,away_avg_shots_on_target,home_avg_corners,away_avg_corners,corners_difference,home_avg_yellow_cards,away_avg_yellow_cards,yellow_cards_difference,result,elo_difference,shots_difference,shots_on_target_difference,home_conversion_rate,away_conversion_rate,home_rest_days,away_rest_days,home_head_to_head,away_head_to_head,draw_head_to_head,home_home_attack,home_home_defense,away_away_attack,away_away_defense,home_avg_xgd,away_avg_xgd,xgd_diff,home_xg_form,away_xg_form,home_home_avg_xg,away_away_avg_xg,home_home_avg_xga,away_away_avg_xga,market_value_difference,market_value_ratio
2021-08-21,Aston Villa,Newcastle,2.0,0.0,1.18426,0.63163,3,0,0,0,2.0,2.0,3.0,4.0,11.0,17.0,2.0,3.0,4.0,7.0,-3.0,1.0,1.0,0.0,H,36.39490844166789,-6.0,-1.0,1.0,0.6666666666666666,7,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21317999999999993,-1.3301299999999998,1.1169499999999999,-0.21317999999999993,-1.3301299999999998,0.0,0.0,0.0,0.0,173850.0,1.553838802166295
2021-08-21,Liverpool,Burnley,2.0,0.0,2.63945,0.690464,9,3,0,0,3.0,1.0,0.0,2.0,19.0,14.0,8.0,3.0,11.0,7.0,4.0,1.0,2.0,-1.0,H,270.4259728461782,5.0,5.0,0.375,0.3333333333333333,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45398000000000005,0.11017999999999994,0.3438000000000001,0.45398000000000005,0.11017999999999994,0.0,0.0,0.0,0.0,781050.0,6.665941240478781
2021-08-21,Crystal Palace,Brentford,0.0,0.0,0.606313,0.712439,-10,-3,0,0,0.0,2.0,3.0,0.0,4.0,8.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,D,-31.287476449108222,-4.0,-2.0,0.0,0.6666666666666666,7,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.865389,0.86433,-1.729719,-0.865389,0.86433,0.0,0.0,0.0,0.0,-2250.0,0.9917672886937431
2021-08-22,Southampton,Man United,1.0,1.0,0.587526,2.26173,-11,-3,0,0,1.0,5.0,3.0,1.0,6.0,16.0,3.0,8.0,8.0,5.0,3.0,0.0,1.0,-1.0,D,-227.58861656400157,-10.0,-5.0,0.3333333333333333,0.625,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8080289999999999,1.074138,-2.882167,-1.8080289999999999,1.074138,0.0,0.0,0.0,0.0,-494850.0,0.3566274458818176
2021-08-22,Wolves,Tottenham,0.0,1.0,1.51127,1.72636,-5,-3,0,0,0.0,1.0,1.0,0.0,17.0,13.0,3.0,3.0,4.0,3.0,1.0,2.0,2.0,0.0,A,-151.66297829597283,4.0,0.0,0.0,0.3333333333333333,8,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.659058,-1.0457100000000001,1.704768,0.659058,-1.0457100000000001,0.0,0.0,0.0,0.0,-312400.0,0.5468194676144194
2021-08-22,Arsenal,Chelsea,0.0,2.0,0.630099,3.64132,-8,-3,0,0,0.0,3.0,2.0,0.0,22.0,13.0,4.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,A,-77.2488817457031,9.0,-2.0,0.0,0.5,9,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.86433,0.865389,-1.729719,-0.86433,0.865389,0.0,0.0,0.0,0.0,-301450.0,0.6703663203936577
2021-08-23,West Ham,Leicester,4.0,1.0,2.28613,0.62676,2,0,0,0,4.0,1.0,2.0,0.0,8.0,9.0,9.0,5.0,6.0,5.0,1.0,0.0,1.0,-1.0,H,41.94668890093271,-1.0,4.0,0.4444444444444444,0.2,8,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3301299999999998,-0.659058,1.989188,1.3301299999999998,-0.659058,0.0,0.0,0.0,0.0,-171650.0,0.6740100655208432
2021-08-28,Norwich,Leicester,1.0,2.0,1.44084,1.27371,-8,-3,0,0,0.0,1.0,4.0,2.0,7.5,7.0,1.5,3.0,2.0,2.5,-0.5,0.5,1.0,-0.5,A,-295.1188878198734,0.5,-1.5,0.0,0.3333333333333333,7,5,0.0,0.0,0.0,0.0,3.0,1.0,4.0,-1.4341256000000002,-1.159214,-0.27491160000000026,-1.4341256000000002,-1.159214,1.3333,0.62676,1.78728,2.28613,-363350.0,0.3099420757762796
2021-08-28,West Ham,Crystal Palace,2.0,2.0,1.44748,1.67658,13,5,3,0,4.0,0.0,1.5,1.5,10.5,5.5,8.0,1.5,8.0,2.5,5.5,0.0,1.5,-1.5,D,148.95947835865582,5.0,6.5,0.5,0.0,5,7,0.0,0.0,0.0,4.0,1.0,0.0,3.0,1.4947499999999998,-0.4857575,1.9805074999999999,1.4947499999999998,-0.4857575,2.28613,0.321701,0.62676,1.18709,83850.0,1.3093525179856116
2021-08-28,Newcastle,Southampton,2.0,2.0,1.19077,3.46036,-4,-1,0,0,1.0,1.0,3.0,2.0,13.0,7.0,2.0,3.0,5.5,7.5,-2.0,2.5,1.0,1.5,D,24.48990407904057,6.0,-1.0,0.5,0.3333333333333333,7,6,0.0,0.0,0.0,2.0,4.0,1.0,3.0,-0.9413799999999999,-1.7411165,0.7997365000000001,-0.9413799999999999,-1.7411165,1.67926,0.580601,3.00939,2.38863,39600.0,1.1443674808603719
